,exp,model,N_train,M,hidden_size,optimizer,mse,nll,config,init,outlier,time
0,,DGP,750,50,[2],adam_Mxit2000,0.026153626893,-0.557703547077,0.117,greedy,,cont.
0,,DGP,500,50,[2],adam_Mxit1100,0.111626816242,0.14196345012,0.231,greedy,,cont.
0,,DGP,1250,50,[2],adam_Mxit2000,0.0276888942305,-0.376017293678,0.147,greedy,,cont.
0,,DGP,1000,50,[2],adam_Mxit2000,0.0585871869225,-0.491139764806,0.124,greedy,,cont.
0,,DGP,500,75,[2],adam_Mxit2000,0.0301012729126,-0.467463047814,0.119,greedy,,cont.
0,,DGP,1250,75,[2],adam_Mxit2000,0.114077546987,-0.20696199374,0.158,greedy,,cont.
0,,DGP,1000,75,[2],adam_Mxit2000,0.0488504471672,-0.319980760358,0.148,greedy,,cont.
0,,DGP,750,75,[2],adam_Mxit2000,0.0145597772503,-0.695285868201,0.099,greedy,,cont.
0,,DGP,500,40,[2],adam_Mxit2000,0.10175138635,-0.0642360166518,0.181,greedy,,cont.
0,,DGP,1000,40,[2],adam_Mxit2000,0.0759447615429,-0.135583621324,0.18,greedy,,cont.
0,,DGP,750,40,[2],adam_Mxit2000,0.0617567716387,-0.214474831671,0.154,greedy,,cont.
0,,DGP,1250,40,[2],adam_Mxit2000,0.040629433682,-0.198509205051,0.173,greedy,,cont.
0,,DGP,500,50,[2],adam_Mxit2000,0.0946649761478,-0.547326343911,0.109,greedy,,cont.
0,,DGP,750,50,[2],adam_Mxit2000,0.067693999514,-0.355323600524,0.138,greedy,,cont.
0,,DGP,1000,50,[2],adam_Mxit2000,0.0657468144564,-0.341038685568,0.136,greedy,,cont.
0,,DGP,1250,50,[2],adam_Mxit2000,0.0434687792959,-0.442845211062,0.132,greedy,,cont.
