,exp,model,N_train,M,hidden_size,optimizer,mse,nll,config,init,outlier,time
0,,DGP,500,50,[2],adam_Mxit1100,0.0537432165015,-0.504978690521,0.117,greedy,,cont.
0,,DGP,750,50,[2],adam_Mxit1100,0.0114947971468,-0.827026702827,0.094,greedy,,cont.
0,,DGP,1000,50,[2],adam_Mxit2000,0.00923658824865,-0.878336818057,0.085,greedy,,cont.
0,,DGP,1250,50,[2],adam_Mxit1100,0.0453625278528,-0.523275968976,0.117,greedy,,cont.
0,,DGP,750,75,[2],adam_Mxit2000,0.030285312695,-0.917327451157,0.083,greedy,,cont.
0,,DGP,500,75,[2],adam_Mxit2000,0.0588884195735,-0.639457983079,0.097,greedy,,cont.
0,,DGP,1250,75,[2],adam_Mxit2000,0.0421591819122,-0.8317349755,0.09,greedy,,cont.
0,,DGP,1000,75,[2],adam_Mxit2000,0.014480432798,-0.947311672275,0.081,greedy,,cont.
0,,DGP,500,40,[2],adam_Mxit2000,0.0236984293011,-0.759572158592,0.094,greedy,,cont.
0,,DGP,1000,40,[2],adam_Mxit2000,0.035188784593,-0.73402108277,0.1,greedy,,cont.
0,,DGP,750,40,[2],adam_Mxit2000,0.0383195890739,-0.738925691275,0.096,greedy,,cont.
0,,DGP,1250,40,[2],adam_Mxit2000,0.0596209261911,-0.619007427796,0.107,greedy,,cont.
0,,DGP,750,50,[2],adam_Mxit2000,0.0114216307222,-1.06677248061,0.075,greedy,,cont.
0,,DGP,1000,50,[2],adam_Mxit2000,0.010645790734,-0.953116538309,0.085,greedy,,cont.
0,,DGP,500,50,[2],adam_Mxit2000,0.0523500050896,-0.869981391645,0.083,greedy,,cont.
0,,DGP,1250,50,[2],adam_Mxit2000,0.0179479856674,-0.865602725263,0.093,greedy,,cont.
0,,DGP,500,40,[2],adam_Mxit2000,0.045302080198,-0.85438782039,0.079,greedy,,cont.
0,,DGP,750,40,[2],adam_Mxit2000,0.00928062159491,-0.927304701334,0.085,greedy,,cont.
0,,DGP,1250,40,[2],adam_Mxit2000,0.0488950048709,-0.752880693244,0.1,greedy,,cont.
0,,DGP,1000,40,[2],adam_Mxit2000,0.0582829144815,-0.720895752108,0.1,greedy,,cont.
0,,DGP,500,75,[2],adam_Mxit2000,0.00595625121803,-1.11498282221,0.07,greedy,,cont.
0,,DGP,1250,75,[2],adam_Mxit2000,0.00790671733497,-1.17559032746,0.07,greedy,,cont.
0,,DGP,1000,75,[2],adam_Mxit2000,0.00459079032736,-1.23077683781,0.064,greedy,,cont.
0,,DGP,750,75,[2],adam_Mxit2000,0.00525511343007,-1.14697774645,0.071,greedy,,cont.
